tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
530,42:02.5,50:53.3,3203,Hamilton Park,40.72759597,-74.04424731,3276,Marin Light Rail,40.71458404,-74.04281706,42308,Subscriber,1977,2
204,44:07.8,47:32.7,3270,Jersey & 6th St,40.72528911,-74.04557168,3209,Brunswick St,40.7241765,-74.0506564,44042,Subscriber,1970,1
254,47:44.9,51:59.1,3273,Manila & 1st,40.72165072,-74.04288411,3276,Marin Light Rail,40.71458404,-74.04281706,42434,Subscriber,1988,1
703,55:11.6,06:54.9,3209,Brunswick St,40.7241765,-74.0506564,3192,Liberty Light Rail,40.7112423,-74.0557013,44042,Subscriber,1970,1
427,58:26.2,05:34.0,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,42293,Subscriber,1990,1
562,58:28.9,07:51.8,3276,Marin Light Rail,40.71458404,-74.04281706,3187,Warren St,40.7211236,-74.03805095,43543,Subscriber,1997,2
443,59:50.8,07:14.0,3279,Dixon Mills,40.72163014,-74.04996783,3269,Brunswick & 6th,40.72601173,-74.05038893,31092,Subscriber,1987,1
351,01:15.2,07:07.0,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,43098,Subscriber,1981,1
510,07:36.3,16:06.3,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,42308,Subscriber,1977,2
607,08:58.4,19:05.9,3483,Montgomery St,40.71942,-74.05099,3638,Washington St,40.7242941,-74.0354826,45341,Subscriber,1964,2
513,11:56.5,20:30.1,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.04772663,33149,Customer,1969,0
535,12:33.2,21:28.5,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.04772663,44913,Customer,1969,0
421,20:41.7,27:43.2,3276,Marin Light Rail,40.71458404,-74.04281706,3279,Dixon Mills,40.72163014,-74.04996783,40176,Subscriber,1987,1
